GISJOIN_proj,GEOID,GISJOIN_CT,pop_00,pop_white_00,pop_black_00,pop_indigenous_00,pop_asian_00,pop_other_00,pop_latino_00,pop_10,pop_white_10,pop_black_10,pop_indigenous_10,pop_asian_10,pop_other_10,pop_latino_10,pop_20,pop_white_20,pop_black_20,pop_indigenous_20,pop_asian_20,pop_other_20,pop_latino_20,pop_change00_10,pop_change10_20,white_change00_10,white_change10_20,black_change00_10,black_change10_20,latino_change00_10,latino_change10_20,blackpct_ch_00_20,median_rent_10,median_rent_20,median_hv_10,median_hv_20,median_hhinc_10,median_hhinc_20,adult_college_above_10,adult_over25_10,renters_10,HU_10,HU_vacant_10,HH_10,hi_inc_hh_10,lo_inc_hh_10,adult_college_above_20,adult_over25_20,renters_20,HU_20,HU_vacant_20,HH_20,hi_inc_hh_20,lo_inc_hh_20,GEOID_bg,rent_bg_Q3_2017,rent_bg_Q3_2024,rent_ma_Q3_2017,rent_ma_Q3_2024,permits_N,affordable_units,vacancy_Ch,HH_ch,HU_ch,housing_tightness,HH_p_ch,HU_p_ch,renter_p_10,renter_p_20,renter_p_ch,college_edu,hi_inc_ch,hi_inc_ch_pop,lo_inc_ch,lo_inc_ch_pop,hhinc_ch,pop_la,all_renters_ct,renters30_ct,renters50_ct,renters60_ct,renters70_ct,renters80_ct,rank_renter_p,rank_housing_tight,rank_hh_growth,rank_vacant_ch,rank_college,rank_hhinc,rank_hi_inc,rank_lo_inc,rank_rents,rank_rents2,rank_HV,rank_permits,owner_20_ct,hi_all,med_all,h1,h2,h3,m1,m2,risk_level
G21011100043013,1500000US211110043013,G2101110004301,,,,,,,,1250,286,822,0,0,129,13,1345,64,1052,0,0,48,181,,95,,-222,,230,,168,,,,67296.2972972973,94799.0,19596.989949748742,26097.484848484848,108.0,2290.0,1404.0,2084.0,308.0,1776.0,51.0,1304.0,178.0,2760.0,1512.0,1938.0,208.0,1730.0,154.0,1019.0,211110000000.0,700.0,1125.0,750.0,1145.0,28.0,953.0,-0.04046556495110419,-46.0,-146.0,-0.05159958720330237,-0.0259009009009009,-0.07005758157389635,0.7905405405405406,0.8739884393063584,0.08344789876581782,0.017331181570786655,0.06030112482424621,103.0,-0.14521689319377185,-285.0,0.33170884484836155,4.0,,,,,,,21.0,75.0,32.0,68.0,31.0,40.0,83.0,12.0,,86.0,48.0,34.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100043014,1500000US211110043014,G2101110004301,,,,,,,,1072,245,705,0,0,111,11,1166,237,792,0,16,95,26,,94,,-8,,87,,15,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,674.0,1150.0,750.0,1145.0,24.0,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,28.0,1000,,,,,,,,low
G21011100043021,1500000US211110043021,G2101110004302,,,,,,,,1561,654,667,11,0,132,97,1146,630,189,0,16,56,255,,-415,,-24,,-478,,158,,,,74299.0,111490.93548387097,23499.0,47404.660377358494,40.0,972.0,349.0,746.0,198.0,548.0,26.0,308.0,50.0,794.0,226.0,491.0,70.0,421.0,13.0,149.0,211110000000.0,730.0,1150.0,756.0,1150.0,46.0,,-0.12284935815182674,-127.0,-255.0,-0.2606924643584521,-0.23175182481751824,-0.3418230563002681,0.6368613138686131,0.5368171021377672,-0.10004421173084588,0.021820028816950172,-0.01656639561697037,-13.0,-0.2081245557154498,-159.0,1.0173054333102896,1.0,,,,,,,89.0,100.0,3.0,97.0,33.0,91.0,52.0,6.0,,80.0,61.0,56.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100049001,1500000US211110049001,G2101110004900,,,,,,,,922,475,267,0,57,63,60,1130,412,239,0,224,32,223,,208,,-63,,-28,,163,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1025.0,1373.0,1035.0,1392.0,11.0,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,10.0,1000,,,,,,,,low
G21011100049002,1500000US211110049002,G2101110004900,,,,,,,,875,218,608,0,20,0,29,819,148,558,0,0,85,28,,-56,,-70,,-50,,-1,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1030.0,1065.0,1035.0,1392.0,49.0,2277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,60.0,1000,,,,,,,,low
G21011100049003,1500000US211110049003,G2101110004900,,,,,,,,2149,985,1001,0,4,23,136,2680,1879,562,36,33,92,78,,531,,894,,-439,,-58,,,,279940.8604651163,291345.1538461539,18124.0,46490.596638655465,712.0,3026.0,1530.0,2117.0,396.0,1721.0,193.0,1163.0,1234.0,3964.0,1868.0,2725.0,620.0,2105.0,454.0,1126.0,211110000000.0,1045.0,1446.0,1035.0,1392.0,7.0,1042.0,0.040465779426486354,384.0,608.0,0.08220183486238532,0.2231260894828588,0.28719886632026453,0.8890180127832655,0.8874109263657958,-0.0016070864174697608,0.07600759779189176,0.10353285735382817,261.0,-0.14085303661214488,-37.0,1.5651399601994849,3.0,,,,,,,49.0,10.0,77.0,19.0,61.0,98.0,92.0,13.0,,50.0,7.0,6.0,1000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,high
G21011100050001,1500000US211110050001,G2101110005000,,,,,,,,805,231,532,0,35,6,0,460,125,288,0,0,8,39,,-345,,-106,,-244,,39,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,995.0,975.0,1035.0,1392.0,43.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,52.0,1000,,,,,,,,low
G21011100050002,1500000US211110050002,G2101110005000,,,,,,,,1015,526,452,0,8,17,13,1626,696,861,0,0,55,14,,611,,170,,409,,1,,,,83535.58536585367,177499.0,15999.0,21745.031746031746,226.0,1289.0,831.0,1210.0,238.0,972.0,53.0,781.0,238.0,1366.0,1049.0,1348.0,218.0,1130.0,59.0,782.0,211110000000.0,995.0,1050.0,1035.0,1392.0,60.0,1086.0,-0.03497314662677489,158.0,138.0,-0.01483679525222552,0.16255144032921812,0.1140495867768595,0.8549382716049383,0.9283185840707965,0.07338031246585819,-0.0010983805985322337,-0.0023143595906624445,6.0,-0.11146254415674273,1.0,0.3591494309664195,2.0,,,,,,,26.0,49.0,66.0,63.0,23.0,44.0,58.0,19.0,,9.0,96.0,66.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100053001,1500000US211110053001,G2101110005300,,,,,,,,1421,1112,222,0,14,72,0,2464,1826,302,4,76,158,98,,1043,,714,,80,,98,,,,154165.66666666666,574999.0,14775.932494343095,35931.835820895525,170.4642356245,431.214586256,511.56153847639996,644.6860642936,109.1408882036,535.54517609,21.6477794784,391.4640122344,309.0,698.0,530.0,702.0,99.0,603.0,28.0,299.0,211110000000.0,850.0,1050.0,950.0,1050.0,22.0,69.0,-0.028267437029627057,67.45482390999996,57.3139357064,-0.01444570969173783,0.12595543181340124,0.08890208565187528,0.9552164062260743,0.87893864013267,-0.07627776609340431,0.047381560241509635,0.006012545787059433,6.3522205216,-0.23510950403779513,-92.4640122344,1.4317812655581557,2.0,,,,,,,80.0,48.0,62.0,57.0,49.0,97.0,63.0,5.0,,24.0,99.0,25.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100053002,1500000US211110053002,G2101110005300,,,,,,,,648,430,85,94,8,14,17,658,469,100,0,26,33,30,,10,,39,,15,,13,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,850.0,1095.0,950.0,1050.0,31.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,40.0,1000,,,,,,,,low
G21011100059011,1500000US211110059011,G2101110005901,,,,,,,,1914,527,1306,0,0,66,15,2086,634,1298,0,9,14,131,,172,,107,,-8,,116,,,,,497057.82352941175,14975.673405909798,12349.43621013133,85.0,1772.0,1284.0,1420.0,136.0,1284.0,18.0,1157.0,208.0,2292.0,1486.0,1786.0,267.0,1519.0,45.0,1364.0,211110000000.0,1030.0,1416.0,1035.0,1392.0,15.0,844.0,0.05372143273977571,235.0,366.0,0.07334826427771557,0.18302180685358255,0.2577464788732394,1.0,0.978275181040158,-0.02172481895984202,0.042782039008978125,0.015606061538272228,27.0,-0.0031311590056583016,207.0,-0.17536688498709407,2.0,,,,,,,58.0,15.0,71.0,15.0,44.0,2.0,65.0,57.0,,48.0,,16.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100059012,1500000US211110059012,G2101110005901,,,,,,,,453,0,453,0,0,0,0,456,72,296,0,45,13,30,,3,,72,,-157,,30,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1035.0,1434.0,1035.0,1392.0,41.0,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,50.0,1000,,,,,,,,low
G21011100059021,1500000US211110059021,G2101110005902,,,,,,,,733,593,126,0,0,9,5,963,840,80,0,0,29,14,,230,,247,,-46,,9,,,,129735.84210526316,248025.31578947368,35175.470588235294,49374.0,641.0,1545.0,668.0,1291.0,267.0,1024.0,110.0,475.0,701.0,1543.0,872.0,1330.0,239.0,1091.0,197.0,601.0,211110000000.0,1129.0,1473.0,1035.0,1392.0,41.0,921.0,-0.027117173258475402,67.0,39.0,-0.021052631578947368,0.0654296875,0.030209140201394268,0.65234375,0.7992667277726856,0.1469229777726856,0.039423054739328056,0.07314641097616864,87.0,0.0870035732699358,126.0,0.4036485987059833,3.0,,,,,,,10.0,51.0,52.0,54.0,42.0,48.0,87.0,87.0,,36.0,91.0,50.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100059022,1500000US211110059022,G2101110005902,,,,,,,,609,178,308,0,20,103,0,276,68,181,0,10,0,17,,-333,,-110,,-127,,17,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1089.0,1473.0,1035.0,1392.0,66.0,943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,70.0,1000,,,,,,,,low
G21011100059023,1500000US211110059023,G2101110005902,,,,,,,,749,220,379,0,24,126,0,687,275,226,0,89,16,81,,-62,,55,,-153,,81,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1050.0,1469.0,1035.0,1392.0,62.0,1093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,67.0,1000,,,,,,,,low
G21011100062001,1500000US211110062001,G2101110006200,,,,,,,,801,59,731,0,0,11,0,724,225,471,0,0,28,0,,-77,,166,,-260,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1049.0,1425.0,1035.0,1392.0,171.0,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,97.0,1000,,,,,,,,low
G21011100062002,1500000US211110062002,G2101110006200,,,,,,,,1236,223,916,19,43,29,6,1444,531,794,0,0,42,77,,208,,308,,-122,,71,,,,76584.36585365854,171427.57142857142,18730.884057971016,40302.030303030304,110.0,1071.0,533.0,975.0,288.0,687.0,56.0,449.0,438.0,1503.0,668.0,1200.0,218.0,982.0,214.0,655.0,211110000000.0,1032.5,1171.0,1035.0,1392.0,116.0,545.0,-0.11371794871794874,295.0,225.0,-0.058333333333333334,0.4294032023289665,0.23076923076923078,0.7758369723435226,0.6802443991853361,-0.09559257315818648,0.18870941590208937,0.1364087786859245,158.0,0.013439879994189385,206.0,1.1516352446738671,2.0,,,,,,,87.0,79.0,94.0,96.0,96.0,95.0,96.0,63.0,,16.0,97.0,88.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100063001,1500000US211110063001,G2101110006300,,,,,,,,1028,967,40,0,0,10,11,1113,936,63,0,44,40,30,,85,,-31,,23,,19,,,,112774.73529411765,230568.9481865285,35565.03773584906,70812.95348837209,403.0,1403.0,353.0,1038.0,162.0,876.0,131.0,360.0,842.0,1563.0,242.0,1080.0,112.0,968.0,347.0,429.0,211110000000.0,999.5,1350.0,1200.0,1395.0,215.0,22.0,-0.052365660458146016,92.0,42.0,-0.046296296296296294,0.1050228310502283,0.04046242774566474,0.4029680365296804,0.25,-0.15296803652968038,0.2514659884745648,0.2089276953847315,216.0,0.03222291407222916,69.0,0.9910833221749581,2.0,,,,,,,97.0,72.0,57.0,76.0,99.0,89.0,98.0,69.0,,44.0,94.0,99.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,1.0,medium
G21011100063002,1500000US211110063002,G2101110006300,,,,,,,,943,851,25,0,0,67,0,630,543,18,0,0,22,47,,-313,,-308,,-7,,47,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1000.0,1340.0,1200.0,1395.0,248.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,100.0,1000,,,,,,,,low
G21011100064001,1500000US211110064001,G2101110006400,,,,,,,,702,627,27,0,18,0,30,1029,811,19,0,54,100,45,,327,,184,,-8,,15,,,,165339.9090909091,306642.3566433566,54793.520547945205,69767.9075630252,618.0,1377.0,420.0,1037.0,185.0,852.0,296.0,339.0,916.0,1599.0,620.0,1298.0,91.0,1207.0,298.0,417.0,211110000000.0,1119.0,1350.0,1200.0,1395.0,151.0,,-0.10829137030042511,355.0,261.0,-0.0724191063174114,0.4166666666666667,0.25168756027000966,0.49295774647887325,0.5136702568351285,0.02071251035625521,0.12405629335328044,-0.10052471692902515,2.0,-0.052402651201325645,78.0,0.273287550523007,2.0,,,,,,,42.0,86.0,93.0,94.0,85.0,32.0,25.0,36.0,,21.0,88.0,93.0,1000,,,,,,,,low
G21011100064002,1500000US211110064002,G2101110006400,,,,,,,,989,957,7,7,0,6,12,1014,885,0,0,55,43,31,,25,,-72,,-7,,19,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1250.0,1400.0,1200.0,1395.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,91.0,1000,,,,,,,,low
G21011100066001,1500000US211110066001,G2101110006600,,,,,,,,573,411,138,0,0,14,10,975,662,242,0,0,49,22,,402,,251,,104,,12,,,,180768.23076923078,299999.0,32327.76712328767,48317.58407079646,491.0,1303.0,770.0,1377.0,295.0,1082.0,207.0,522.0,798.0,1428.0,788.0,1349.0,165.0,1184.0,248.0,618.0,211110000000.0,1015.0,1000.0,950.0,1050.0,161.0,1043.0,-0.09192101737051517,102.0,-28.0,-0.09636767976278725,0.09426987060998152,-0.020334059549745823,0.711645101663586,0.6655405405405406,-0.046104561123045396,0.1820008126043971,0.01814707498626167,41.0,0.03951953339661285,96.0,0.49461556953589736,2.0,,,,,,,67.0,94.0,57.0,93.0,93.0,59.0,66.0,72.0,,6.0,77.0,95.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100066002,1500000US211110066002,G2101110006600,,,,,,,,1345,832,359,0,0,100,54,717,585,117,0,0,15,0,,-628,,-247,,-242,,-54,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,900.0,1000.0,950.0,1050.0,147.0,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,91.0,1000,,,,,,,,low
G21011100070001,1500000US211110070001,G2101110007000,,,,,,,,1273,1204,44,0,0,7,18,1092,981,57,0,12,3,39,,-181,,-223,,13,,21,,,,128755.8306010929,232648.25373134328,46380.57894736842,80893.30894308943,589.0,1551.0,234.0,1045.0,84.0,961.0,252.0,317.0,685.0,1335.0,209.0,884.0,58.0,826.0,284.0,275.0,211110000000.0,1200.0,1500.0,1200.0,1395.0,136.0,,-0.014771915391110432,-135.0,-161.0,-0.029411764705882353,-0.1404786680541103,-0.15406698564593302,0.24349635796045785,0.25302663438256656,0.009530276422108713,0.13335361745593638,0.0815988188252249,32.0,0.0030650578367469317,-42.0,0.7441202929977488,2.0,,,,,,,46.0,59.0,15.0,46.0,87.0,77.0,88.0,60.0,,26.0,86.0,89.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100070002,1500000US211110070002,G2101110007000,,,,,,,,791,725,51,0,0,0,15,643,560,56,0,5,21,1,,-148,,-165,,5,,-14,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,950.0,1560.0,1200.0,1395.0,103.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,85.0,1000,,,,,,,,low
G21011100071011,1500000US211110071011,G2101110007101,,,,,,,,105,87,12,0,2,4,0,115,115,0,0,0,0,0,,10,,28,,-12,,0,,,,133424.57519738024,52999.0,17717.679140699485,21784.714285714286,18.731384808500003,48.791253144500004,36.754250994299994,91.15970685740001,17.3416988624,73.818007995,8.411922015600002,50.3991718471,33.0,115.0,41.0,101.0,17.0,84.0,12.0,55.0,211110000000.0,900.0,1299.0,950.0,1050.0,22.0,,-0.021917422684579968,10.181992004999998,9.84029314259999,-0.003383157053465429,0.1379337140293689,0.1079456426729524,0.49790358738465973,0.4880952380952381,-0.009808349289421647,-0.09695214223851323,0.028902265936462793,3.588077984399998,-0.027987104809225172,4.6008281529,0.22954672069167162,1.0,,,,,,,54.0,41.0,64.0,50.0,3.0,26.0,73.0,43.0,,59.0,2.0,25.0,1000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,high
G21011100074001,1500000US211110074001,G2101110007400,,,,,,,,1306,1160,61,0,15,41,29,1381,1194,62,0,44,26,55,,75,,34,,1,,26,,,,149999.0,255786.03703703705,39290.0447761194,58857.26771653543,668.0,1677.0,493.0,1160.0,113.0,1047.0,202.99999999999997,414.99999999999994,1092.0,1815.0,668.0,1480.0,217.0,1263.0,282.0,403.0,211110000000.0,1127.0,1350.0,1099.0,1350.0,113.0,100.0,0.04920782851817335,216.0,320.0,0.07027027027027027,0.20630372492836677,0.27586206896551724,0.4708691499522445,0.5288994457640538,0.058030295811809296,0.20332254074325962,0.029390612699557866,79.00000000000003,-0.07728903075635168,-11.999999999999943,0.49801986869480597,2.0,,,,,,,31.0,15.0,74.0,16.0,98.0,60.0,74.0,30.0,,21.0,80.0,87.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100074002,1500000US211110074002,G2101110007400,,,,,,,,715,664,6,0,17,28,0,1130,788,9,0,47,45,241,,415,,124,,3,,241,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1100.0,1385.0,1099.0,1350.0,63.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,68.0,1000,,,,,,,,low
G21011100076011,1500000US211110076011,G2101110007601,,,,,,,,1270,949,182,0,80,7,52,1045,833,102,0,81,19,10,,-225,,-116,,-80,,-42,,,,165864.38461538462,314863.86486486485,41603.477611940296,55195.07843137255,841.0,1584.0,693.0,1107.0,17.0,1090.0,221.0,351.0,750.0,1276.0,598.0,1047.0,118.0,929.0,101.0,347.0,211110000000.0,1051.5,1283.0,1099.0,1350.0,149.0,8.0,0.09734614060562764,-161.0,-60.0,0.0964660936007641,-0.14770642201834863,-0.05420054200542006,0.6357798165137615,0.643702906350915,0.007923089837153507,0.056839951236502984,-0.09403324083309468,-120.0,0.051501565262045634,-4.0,0.3266938630998346,2.0,,,,,,,47.0,8.0,10.0,6.0,56.0,39.0,29.0,80.0,,24.0,90.0,92.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100076012,1500000US211110076012,G2101110007601,,,,,,,,792,759,14,0,13,6,0,574,407,125,0,20,22,0,,-218,,-352,,111,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,985.0,1195.0,1099.0,1350.0,160.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,94.0,1000,,,,,,,,low
G21011100076021,1500000US211110076021,G2101110007602,,,,,,,,2324,1651,437,0,105,41,90,2243,1421,571,0,60,66,125,,-81,,-230,,134,,35,,,,115540.82509505704,161823.32432432432,29374.0,54775.35782747604,855.0,2616.0,1289.0,2195.0,265.0,1930.0,285.0,1051.0,1229.0,3055.0,1480.0,2450.0,197.0,2253.0,462.0,968.0,211110000000.0,1051.5,1319.0,1099.0,1350.0,62.0,,-0.04032076611965971,323.0,255.0,-0.027755102040816326,0.16735751295336787,0.11617312072892938,0.6678756476683938,0.656901908566356,-0.010973739102037805,0.0754564633102599,0.05739152632414121,177.0,-0.1149102290785573,-83.0,0.864756513497516,2.0,,,,,,,56.0,57.0,67.0,67.0,60.0,84.0,82.0,17.0,,28.0,46.0,67.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100076022,1500000US211110076022,G2101110007602,,,,,,,,1382,819,275,0,61,95,132,1311,564,409,0,216,38,84,,-71,,-255,,134,,-48,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1039.0,1300.0,1099.0,1350.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,87.0,1000,,,,,,,,low
G21011100076031,1500000US211110076031,G2101110007603,,,,,,,,1437,1064,257,0,0,94,22,1528,721,577,0,61,76,93,,91,,-343,,320,,71,,,,140539.54054054053,190424.53191489363,41196.916666666664,62044.454545454544,896.0,1744.0,838.0,1382.0,80.0,1302.0,259.0,587.0,809.0,1791.0,796.0,1440.0,80.0,1360.0,205.0,462.0,211110000000.0,950.0,1249.5,1099.0,1350.0,46.0,,-0.002331564560218685,58.0,58.0,0.0,0.0445468509984639,0.041968162083936326,0.6436251920122887,0.5852941176470589,-0.058331074365229885,-0.0620585086492606,-0.04818943706514864,-54.0,-0.1111389717177193,-125.0,0.5060460725124141,3.0,,,,,,,74.0,39.0,46.0,39.0,8.0,62.0,36.0,20.0,,38.0,37.0,56.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100076032,1500000US211110076032,G2101110007603,,,,,,,,475,259,165,0,0,40,11,567,356,130,0,81,0,0,,92,,97,,-35,,-11,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,925.0,1200.0,1099.0,1350.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,76.0,1000,,,,,,,,low
G21011100076033,1500000US211110076033,G2101110007603,,,,,,,,502,449,6,0,32,6,9,436,386,0,0,0,40,10,,-66,,-63,,-6,,1,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,950.0,1194.5,1099.0,1350.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,89.0,1000,,,,,,,,low
G21011100077001,1500000US211110077001,G2101110007700,,,,,,,,2315,1937,111,0,226,10,31,2095,1797,154,8,106,10,20,,-220,,-140,,43,,-11,,,,226784.7142857143,446295.2962962963,40369.37037037037,78550.13636363637,797.0,1578.0,442.0,980.0,116.0,864.0,259.0,432.0,945.0,1526.0,506.0,1045.0,134.0,911.0,259.0,565.0,211110000000.0,1500.0,1700.0,1085.0,1499.0,95.0,,0.009862318132994818,47.0,65.0,0.01722488038277512,0.05439814814814815,0.0663265306122449,0.5115740740740741,0.5554335894621295,0.04385951538805544,0.11419634655410982,-0.015465554742448318,0.0,0.12019758507135014,133.0,0.9457855211259195,1.0,,,,,,,35.0,30.0,49.0,30.0,80.0,87.0,53.0,93.0,,15.0,92.0,82.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100079001,1500000US211110079001,G2101110007900,,,,,,,,803,759,24,7,12,1,0,954,864,71,0,16,3,0,,151,,105,,47,,0,,,,226665.66666666666,381033.4827586207,51715.41791044776,91249.0,818.0,1283.0,345.0,1002.0,143.0,859.0,283.0,350.0,946.0,1359.0,377.0,971.0,85.0,886.0,311.0,387.0,211110000000.0,950.0,1150.0,1099.0,1350.0,175.0,8.0,-0.05517595087888075,27.0,-31.0,-0.05973223480947477,0.03143189755529686,-0.03093812375249501,0.40162980209545984,0.4255079006772009,0.02387809858174106,0.05853187405117122,0.02156294920073476,28.0,0.02934405852781724,37.0,0.7644447959022586,2.0,,,,,,,40.0,82.0,42.0,79.0,57.0,79.0,67.0,67.0,,22.0,79.0,97.0,1000,,,,,,,,low
G21011100079002,1500000US211110079002,G2101110007900,,,,,,,,866,842,0,0,4,0,20,850,801,11,0,0,38,0,,-16,,-41,,11,,-20,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1099.0,1250.0,1099.0,1350.0,158.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,94.0,1000,,,,,,,,low
G21011100082011,1500000US211110082011,G2101110008201,,,,,,,,699,644,34,0,21,0,0,687,593,5,0,0,81,8,,-12,,-51,,-29,,8,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1291.5,1350.0,1200.0,1395.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,95.0,1000,,,,,,,,low
G21011100082012,1500000US211110082012,G2101110008201,,,,,,,,1344,1170,49,0,49,50,26,1054,1039,0,0,4,3,8,,-290,,-131,,-49,,-18,,,,359301.32558139536,667667.2692307692,58081.191780821915,93806.3394495413,1137.0,1676.0,625.0,1144.0,34.0,1110.0,440.0,373.0,1120.0,1460.0,515.0,1139.0,139.0,1000.0,239.0,232.0,211110000000.0,1400.0,1300.0,1200.0,1395.0,228.0,,0.09231659473099332,-110.0,-5.0,0.09218612818261633,-0.0990990990990991,-0.004370629370629371,0.5630630630630631,0.515,-0.04806306306306307,0.08872233301729493,-0.1573963963963964,-201.0,-0.10403603603603603,-141.0,0.6150897833421459,2.0,,,,,,,70.0,8.0,18.0,8.0,66.0,69.0,15.0,23.0,,1.0,89.0,100.0,1000,,,,,,,,low
G21011100082021,1500000US211110082021,G2101110008202,,,,,,,,888,844,6,0,15,0,23,847,717,86,0,24,20,0,,-41,,-127,,80,,-23,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1199.0,1395.0,1200.0,1395.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,84.0,1000,,,,,,,,low
G21011100082022,1500000US211110082022,G2101110008202,,,,,,,,1303,1161,0,0,41,44,57,1522,1209,173,0,69,28,43,,219,,48,,173,,-14,,,,398989.64425375,476897.7341772152,44661.38664862976,58262.59832635983,1157.2339743063,1597.7570288366,670.4186115128,1372.7573073334001,239.1166096067,1133.6406977267,300.1126789458,446.2397703149,1258.0,1859.0,880.0,1534.0,141.0,1393.0,167.0,336.0,211110000000.0,1324.0,1350.0,1200.0,1395.0,140.0,,-0.0822705385131706,259.35930227330005,161.24269266659985,-0.06396128396786192,0.22878439596725456,0.11745899424845604,0.5913854476618532,0.6317300789662599,0.040344631304406686,-0.04757867266010263,-0.14484836821287111,-133.11267894579998,-0.15242818853048157,-110.2397703149,0.3045407386191705,2.0,,,,,,,37.0,84.0,78.0,92.0,10.0,37.0,16.0,11.0,,6.0,13.0,90.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100083001,1500000US211110083001,G2101110008300,,,,,,,,816,731,0,0,25,60,0,637,610,0,0,14,13,0,,-179,,-121,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1395.0,1299.0,1200.0,1395.0,197.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,98.0,1000,,,,,,,,low
G21011100083002,1500000US211110083002,G2101110008300,,,,,,,,489,462,27,0,0,0,0,533,467,5,0,0,27,34,,44,,5,,-22,,34,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1199.5,1350.0,1200.0,1395.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,96.0,1000,,,,,,,,low
